Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Armando Broja,al ALB,FW,19.0,21.9,6,45,19,42.2,2.05,0.87,0.13,0.32,13.0,0.0,0,0,5.9,5.9,0.13,0.1,0.1,Matches
Nathan Redmond,eng ENG,"MF,FW",27.0,20.4,1,26,9,34.6,1.28,0.44,0.04,0.11,21.2,1.0,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
Fraser Forster,eng ENG,GK,33.0,19.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Romain Perraud,fr FRA,DF,23.0,18.0,0,19,3,15.8,1.05,0.17,0.0,0.0,20.7,0.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Alex McCarthy,eng ENG,GK,31.0,17.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Adam Armstrong,eng ENG,FW,24.0,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17.2,0.0,0,0,4.5,4.5,0.1,-2.5,-2.5,Matches
Stuart Armstrong,sct SCO,MF,29.0,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,20.5,0.0,0,0,2.5,2.5,0.07,-0.5,-0.5,Matches
Ibrahima Diallo,fr FRA,MF,22.0,11.4,0,8,4,50.0,0.7,0.35,0.0,0.0,21.3,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Nathan Tella,eng ENG,"MF,FW",22.0,8.9,0,12,5,41.7,1.34,0.56,0.0,0.0,21.8,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Lyanco,br BRA,DF,24.0,10.1,0,6,1,16.7,0.59,0.1,0.0,0.0,16.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Jack Stephens,eng ENG,DF,27.0,9.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Moussa Djenepo,ml MLI,MF,23.0,5.1,0,11,1,9.1,2.17,0.2,0.0,0.0,16.3,0.0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
