Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Opponent Total,,,26.7,38.0,657.0,350,407.0,211.0,39.0,291.0,634.0,45.9,343.0,542.0,212.0,330.0,487,1144.0,999.0,18.0,
Edouard Mendy,sn SEN,GK,29.0,34.0,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,13.0,4.0,Matches
Antonio Rüdiger,de GER,DF,28.0,33.7,48.0,28,29.0,15.0,4.0,36.0,48.0,75.0,12.0,20.0,11.0,9.0,28,76.0,91.0,1.0,Matches
Thiago Silva,br BRA,DF,36.0,29.4,32.0,21,19.0,12.0,1.0,11.0,22.0,50.0,11.0,54.0,31.0,23.0,44,76.0,100.0,0.0,Matches
Mason Mount,eng ENG,MF,22.0,26.3,41.0,16,10.0,17.0,14.0,10.0,34.0,29.4,24.0,18.0,1.0,17.0,13,54.0,12.0,0.0,Matches
Jorginho,it ITA,MF,29.0,25.3,64.0,33,27.0,31.0,6.0,29.0,83.0,34.9,54.0,27.0,4.0,23.0,36,100.0,21.0,1.0,Matches
Marcos Alonso,es ESP,DF,30.0,24.1,41.0,29,20.0,12.0,9.0,17.0,36.0,47.2,19.0,29.0,5.0,24.0,43,84.0,53.0,0.0,Matches
César Azpilicueta,es ESP,DF,31.0,23.0,51.0,28,18.0,27.0,6.0,16.0,35.0,45.7,19.0,32.0,9.0,23.0,23,74.0,65.0,1.0,Matches
Reece James,eng ENG,DF,21.0,20.7,33.0,25,14.0,18.0,1.0,9.0,22.0,40.9,13.0,20.0,2.0,18.0,17,50.0,22.0,0.0,Matches
Kai Havertz,de GER,"FW,MF",22.0,20.1,17.0,8,5.0,7.0,5.0,4.0,14.0,28.6,10.0,28.0,1.0,27.0,4,21.0,32.0,1.0,Matches
N'Golo Kanté,fr FRA,MF,30.0,19.7,59.0,31,20.0,27.0,12.0,25.0,40.0,62.5,15.0,37.0,2.0,35.0,31,90.0,8.0,0.0,Matches
Andreas Christensen,dk DEN,DF,25.0,16.6,14.0,8,9.0,4.0,1.0,4.0,7.0,57.1,3.0,14.0,6.0,8.0,29,43.0,57.0,1.0,Matches
Trevoh Chalobah,eng ENG,DF,22.0,16.1,40.0,27,22.0,18.0,0.0,24.0,31.0,77.4,7.0,16.0,6.0,10.0,19,59.0,43.0,2.0,Matches
Romelu Lukaku,be BEL,FW,28.0,17.7,2.0,1,0.0,1.0,1.0,1.0,5.0,20.0,4.0,11.0,1.0,10.0,0,2.0,20.0,0.0,Matches
Mateo Kovačić,hr CRO,MF,27.0,17.3,51.0,31,14.0,26.0,11.0,17.0,35.0,48.6,18.0,19.0,4.0,15.0,7,58.0,9.0,1.0,Matches
Timo Werner,de GER,"FW,MF",25.0,14.3,8.0,4,3.0,3.0,2.0,2.0,20.0,10.0,18.0,9.0,0.0,9.0,2,10.0,4.0,0.0,Matches
Hakim Ziyech,ma MAR,"MF,FW",28.0,14.7,19.0,10,5.0,12.0,2.0,10.0,36.0,27.8,26.0,11.0,1.0,10.0,10,29.0,10.0,0.0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",25.0,15.5,29.0,10,16.0,11.0,2.0,10.0,19.0,52.6,9.0,15.0,6.0,9.0,11,40.0,17.0,0.0,Matches
Christian Pulisic,us USA,"MF,FW",22.0,14.3,10.0,7,6.0,3.0,1.0,3.0,17.0,17.6,14.0,12.0,0.0,12.0,5,15.0,10.0,0.0,Matches
Callum Hudson-Odoi,eng ENG,"MF,FW",20.0,10.7,14.0,10,5.0,6.0,3.0,8.0,23.0,34.8,15.0,8.0,0.0,8.0,2,16.0,6.0,1.0,Matches
Malang Sarr,fr FRA,DF,22.0,6.1,14.0,7,10.0,2.0,2.0,7.0,12.0,58.3,5.0,6.0,3.0,3.0,11,25.0,20.0,0.0,Matches
Ben Chilwell,eng ENG,DF,24.0,6.0,8.0,3,2.0,6.0,0.0,2.0,5.0,40.0,3.0,7.0,0.0,7.0,4,12.0,14.0,1.0,Matches
Saúl Ñíguez,es ESP,"DF,MF",26.0,5.3,20.0,9,11.0,9.0,0.0,9.0,16.0,56.3,7.0,14.0,3.0,11.0,7,27.0,10.0,1.0,Matches
Kepa Arrizabalaga,es ESP,GK,26.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,Matches
Ross Barkley,eng ENG,"MF,FW",27.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,Matches
Kenedy,br BRA,DF,25.0,0.6,5.0,2,1.0,2.0,2.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0,5.0,0.0,0.0,Matches
Emerson Palmieri,it ITA,DF,26.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,27.4,38.0,621.0,348,267.0,269.0,85.0,257.0,567.0,45.3,310.0,408.0,96.0,312.0,347,968.0,641.0,15.0,
Opponent Total,,,26.7,38.0,643.0,356,337.0,237.0,69.0,260.0,624.0,41.7,364.0,487.0,169.0,318.0,376,1019.0,793.0,12.0,
Bukayo Saka,eng ENG,"FW,MF",19.0,33.1,40.0,21,12.0,17.0,11.0,13.0,39.0,33.3,26.0,28.0,2.0,26.0,22,62.0,23.0,0.0,Matches
Gabriel Dos Santos,br BRA,DF,23.0,34.0,50.0,30,36.0,12.0,2.0,30.0,41.0,73.2,11.0,34.0,26.0,8.0,13,63.0,112.0,4.0,Matches
